Tik;Max_Hustota_Jadra;Celkova_Hmotnost;Integrita_Membrany;Pocet_Bunek;Status
50;372.14;17041603.69;184.59;0;KOLAPS
100;335.41;17179655.3;187.06;0;KOLAPS
150;310.08;17245258.71;190.03;0;KOLAPS
200;292.04;17171761.34;193.72;0;KOLAPS
250;281.5;17224201.26;198.24;0;KOLAPS
300;272.49;17350815.08;203.65;0;KOLAPS
350;264.72;17897726.34;210.05;0;KOLAPS
400;258.57;18004814.15;215.74;0;KOLAPS
450;254.77;18444130.08;217.62;0;KOLAPS
500;252.32;18599840.47;220.21;0;KOLAPS
550;251.29;18802777.06;222.82;0;KOLAPS
600;251.05;18941954.71;225.37;0;KOLAPS
650;250.81;19053248.36;227.62;0;KOLAPS
700;250.88;19108908.14;229.65;0;KOLAPS
750;251.24;19336645.52;231.91;0;KOLAPS
800;251.81;19642795.77;233.54;0;KOLAPS
850;252.12;19802633.87;235.23;0;KOLAPS
900;252.41;19798083.82;236.78;0;KOLAPS
950;252.52;20126484.89;237.7;0;KOLAPS
1000;253.13;20273348.62;236.41;0;KOLAPS
1050;252.96;20399671.41;235.82;0;KOLAPS
1100;253.47;20480607.37;235.5;0;KOLAPS
1150;253.78;20609106.21;234.56;0;KOLAPS
1200;254.41;20715260.32;233.22;0;KOLAPS
1250;255.45;21017288.06;232.69;0;KOLAPS
1300;256.02;21522550.63;232.67;0;KOLAPS
1350;256.6;21421974.82;231.81;0;KOLAPS
1400;257.38;21646006.62;231.06;0;KOLAPS
1450;257.86;22124489.22;231.26;0;KOLAPS
1500;258.74;22126990.42;231.21;0;KOLAPS
1550;259.72;22317074.99;231.87;0;KOLAPS
1600;260.42;22651828.7;231.51;0;KOLAPS
1650;261.51;22975256.26;231.04;0;KOLAPS
1700;261.79;23293465.04;231.73;0;KOLAPS
1750;262.79;23515150.59;231.98;0;KOLAPS
1800;263.59;23694708.44;231.56;0;KOLAPS
1850;264.3;23877093.34;230.82;0;KOLAPS
1900;265.09;24275043.74;230.84;0;KOLAPS
1950;265.83;24511915.52;231.7;0;KOLAPS
2000;266.24;24780203.35;231.99;0;KOLAPS
2050;267.12;25027527.01;232.28;0;KOLAPS
2100;267.35;25180195.9;231.61;0;KOLAPS
2150;267.73;25399159.51;230.9;0;KOLAPS
2200;268.24;25754525.31;230.28;0;KOLAPS
2250;268.45;26000131.12;230.55;0;KOLAPS
2300;268.68;26253880.83;230.11;0;KOLAPS
2350;269.38;26549557.95;229.62;0;KOLAPS
2400;269.7;26735820.0;229.84;0;KOLAPS
2450;269.92;27111733.03;229.81;0;KOLAPS
2500;270.31;27301647.58;230.77;0;KOLAPS
2550;270.67;27986670.78;231.21;0;KOLAPS
2600;271.11;28161571.1;230.58;0;KOLAPS
2650;271.1;28573981.0;230.33;0;KOLAPS
2700;271.34;28693099.76;229.44;0;KOLAPS
2750;271.65;28780053.53;229.63;0;KOLAPS
2800;271.93;28934361.67;229.68;0;KOLAPS
2850;272.13;29307028.13;229.41;0;KOLAPS
2900;272.51;29530287.81;230.15;0;KOLAPS
2950;272.53;29763845.24;229.54;0;KOLAPS
3000;272.37;30138724.39;229.24;0;KOLAPS
