Prvek;Symbol;Atomove_Cislo;Teoreticke_Pnuti_Psi;Dosazene_Pnuti_Psi;Hmotnostni_Defekt_MeV;Status_Mrizky
Deuterium;D;1;552.93;555.3912997831311;-0.25;STABILNÍ
Hélium-4;He;2;1100.45;1105.348517617685;-0.49;STABILNÍ
Berylium-8;Be;4;2198.1;2207.8845713802825;-0.98;STABILNÍ
Uhlík-12;C;6;3290.55;3305.1974779834377;-1.46;STABILNÍ
Kyslík-16;O;8;4385.2;4404.720177615587;-1.95;STABILNÍ
Neon-20;Ne;10;5480.0;5504.393544954257;-2.44;STABILNÍ
Hořčík-24;Mg;12;6570.8;6600.049106785664;-2.92;STABILNÍ
Křemík-28;Si;14;7665.4;7699.521583848971;-3.41;STABILNÍ
Síra-32;S;16;8750.1;8789.049992281805;-3.89;STABILNÍ
Argon-36;Ar;18;9845.0;9888.823804758147;-4.38;STABILNÍ
Vápník-40;Ca;20;10930.5;10979.155774292429;-4.87;STABILNÍ
Titan-44;Ti;22;12025.0;12078.527806218059;-5.35;STABILNÍ
Chrom-48;Cr;24;13110.0;13168.357550063933;-5.84;STABILNÍ
Železo-56;Fe;26;15400.0;15468.551202973651;-6.86;STABILNÍ
Nikl-62;Ni;28;17000.0;17075.673405879992;-7.57;STABILNÍ
