Frekvence;Max Pnuti;Hustota Mostu;Status Mrizky
0.0;22.83;0.01;REPULZE (Frekvence nesedí)
0.5;22.91;0.01;REPULZE (Frekvence nesedí)
1.0;22.98;0.01;REPULZE (Frekvence nesedí)
1.5;23.06;0.01;REPULZE (Frekvence nesedí)
2.0;23.12;0.01;REPULZE (Frekvence nesedí)
2.5;23.19;0.01;REPULZE (Frekvence nesedí)
3.0;23.25;0.01;REPULZE (Frekvence nesedí)
3.5;23.31;0.01;REPULZE (Frekvence nesedí)
4.0;23.37;0.01;REPULZE (Frekvence nesedí)
4.5;23.42;0.01;REPULZE (Frekvence nesedí)
5.0;23.47;0.01;REPULZE (Frekvence nesedí)
5.5;23.52;0.01;REPULZE (Frekvence nesedí)
6.0;23.63;0.01;REPULZE (Frekvence nesedí)
6.5;23.74;0.01;REPULZE (Frekvence nesedí)
7.0;23.84;0.01;REPULZE (Frekvence nesedí)
7.5;23.95;0.01;REPULZE (Frekvence nesedí)
8.0;24.05;0.01;REPULZE (Frekvence nesedí)
8.5;24.14;0.01;REPULZE (Frekvence nesedí)
9.0;24.24;0.01;REPULZE (Frekvence nesedí)
9.5;24.33;0.01;REPULZE (Frekvence nesedí)
10.0;24.42;0.01;REPULZE (Frekvence nesedí)
10.5;24.5;0.01;REPULZE (Frekvence nesedí)
11.0;24.58;0.01;REPULZE (Frekvence nesedí)
11.5;24.66;0.01;REPULZE (Frekvence nesedí)
12.0;24.74;0.01;REPULZE (Frekvence nesedí)
12.5;24.81;0.01;REPULZE (Frekvence nesedí)
13.0;24.89;0.01;REPULZE (Frekvence nesedí)
13.5;24.95;0.01;REPULZE (Frekvence nesedí)
14.0;25.02;0.01;REPULZE (Frekvence nesedí)
14.5;25.08;0.01;REPULZE (Frekvence nesedí)
15.0;25.14;0.01;REPULZE (Frekvence nesedí)
15.5;25.19;0.01;REPULZE (Frekvence nesedí)
16.0;25.25;0.01;REPULZE (Frekvence nesedí)
16.5;25.3;0.01;REPULZE (Frekvence nesedí)
17.0;25.34;0.01;REPULZE (Frekvence nesedí)
17.5;25.39;0.01;REPULZE (Frekvence nesedí)
18.0;25.43;0.01;REPULZE (Frekvence nesedí)
18.5;25.46;0.01;REPULZE (Frekvence nesedí)
19.0;25.5;0.01;REPULZE (Frekvence nesedí)
19.5;25.53;0.01;REPULZE (Frekvence nesedí)
20.0;25.56;0.01;REPULZE (Frekvence nesedí)
