Spin_Uhel;Hustota_Mostu;Status
0;4.1892290561346766;ODRAZ (Spin nesedí)
5;4.185265451336817;ODRAZ (Spin nesedí)
10;4.173382336555896;ODRAZ (Spin nesedí)
15;4.153602737313201;ODRAZ (Spin nesedí)
20;4.1259649902995;ODRAZ (Spin nesedí)
25;4.090522685065378;ODRAZ (Spin nesedí)
30;4.047344583411959;ODRAZ (Spin nesedí)
35;3.996514517576365;ODRAZ (Spin nesedí)
40;3.938131268728902;ODRAZ (Spin nesedí)
45;3.8723084278187523;ODRAZ (Spin nesedí)
50;3.799174241465302;ODRAZ (Spin nesedí)
55;3.7188714464536488;ODRAZ (Spin nesedí)
60;3.6315570975395826;ODRAZ (Spin nesedí)
65;3.53740239482925;ODRAZ (Spin nesedí)
70;3.436592519157031;ODRAZ (Spin nesedí)
75;3.3293264869264183;ODRAZ (Spin nesedí)
80;3.215817040236698;ODRAZ (Spin nesedí)
85;3.0962905944764234;ODRAZ (Spin nesedí)
90;2.970987275009908;ODRAZ (Spin nesedí)
95;2.8401610888924704;ODRAZ (Spin nesedí)
100;2.70408029968368;ODRAZ (Spin nesedí)
105;2.56302810845149;ODRAZ (Spin nesedí)
110;2.417303800876586;ODRAZ (Spin nesedí)
115;2.2672246151076383;ODRAZ (Spin nesedí)
120;2.113128747915564;ODRAZ (Spin nesedí)
125;1.9553802065776213;ODRAZ (Spin nesedí)
130;1.7943767502088812;ODRAZ (Spin nesedí)
135;1.6305632012323892;ODRAZ (Spin nesedí)
140;1.4644545169207983;ODRAZ (Spin nesedí)
145;1.2966775589792336;ODRAZ (Spin nesedí)
150;1.1280509899315676;ODRAZ (Spin nesedí)
155;0.9597488752611928;ODRAZ (Spin nesedí)
160;0.7936646568573368;ODRAZ (Spin nesedí)
165;0.6333028338936781;ODRAZ (Spin nesedí)
170;0.48617507170955293;ODRAZ (Spin nesedí)
175;0.37018690287106604;ODRAZ (Spin nesedí)
180;0.32224977991805653;ODRAZ (Spin nesedí)
185;0.3701872298797089;ODRAZ (Spin nesedí)
190;0.4861755675529289;ODRAZ (Spin nesedí)
195;0.6333034007548735;ODRAZ (Spin nesedí)
200;0.7936652538299834;ODRAZ (Spin nesedí)
205;0.9597494842012185;ODRAZ (Spin nesedí)
210;1.12805160148147;ODRAZ (Spin nesedí)
215;1.2966781675059271;ODRAZ (Spin nesedí)
220;1.4644551185372792;ODRAZ (Spin nesedí)
225;1.6305637929477428;ODRAZ (Spin nesedí)
230;1.7943773295341778;ODRAZ (Spin nesedí)
235;1.9553807713351272;ODRAZ (Spin nesedí)
240;2.1131292961472306;ODRAZ (Spin nesedí)
245;2.2672251450359298;ODRAZ (Spin nesedí)
250;2.4173043108943966;ODRAZ (Spin nesedí)
255;2.563028597128039;ODRAZ (Spin nesedí)
260;2.7040807657781234;ODRAZ (Spin nesedí)
265;2.8401615313690907;ODRAZ (Spin nesedí)
270;2.9709876930503314;ODRAZ (Spin nesedí)
275;3.0962909874855358;ODRAZ (Spin nesedí)
280;3.215817407840136;ODRAZ (Spin nesedí)
285;3.329326828959056;ODRAZ (Spin nesedí)
290;3.4365928356430286;ODRAZ (Spin nesedí)
295;3.5374026859553083;ODRAZ (Spin nesedí)
300;3.6315573636238763;ODRAZ (Spin nesedí)
305;3.718871687912734;ODRAZ (Spin nesedí)
310;3.7991744587814944;ODRAZ (Spin nesedí)
315;3.872308621509657;ODRAZ (Spin nesedí)
320;3.9381314393205096;ODRAZ (Spin nesedí)
325;3.996514665580153;ODRAZ (Spin nesedí)
330;4.047344709306375;ODRAZ (Spin nesedí)
335;4.090522789281238;ODRAZ (Spin nesedí)
340;4.125965073208971;ODRAZ (Spin nesedí)
345;4.1536027992218525;ODRAZ (Spin nesedí)
350;4.173382377697021;ODRAZ (Spin nesedí)
355;4.185265471867769;ODRAZ (Spin nesedí)
360;4.189229056134677;ODRAZ (Spin nesedí)
