Tik;Prumer_Max;Odchylka_Max;Prumer_Most;Odchylka_Most
50;16.59;0.19;0.39;0.38
100;16.83;0.07;0.45;0.46
150;17.41;0.15;0.52;0.55
200;18.76;0.1;0.62;0.67
250;20.48;0.08;0.75;0.81
300;24.99;1.82;1.23;1.31
350;24.69;4.34;2.01;2.12
400;20.9;5.56;3.27;3.44
450;17.38;3.96;5.32;5.58
500;17.73;4.63;8.64;9.06
550;28.8;7.51;14.04;14.72
600;46.77;12.2;22.8;23.91
650;75.97;19.82;37.03;38.83
700;123.39;32.18;60.15;63.06
750;200.33;52.19;97.64;102.35
800;324.02;83.51;157.79;164.95
850;480.96;95.44;233.45;231.96
900;629.47;76.96;308.96;284.74
950;746.23;58.65;380.62;310.93
1000;794.66;10.69;445.4;293.26
1050;800.0;0.0;522.62;238.47
1100;800.0;0.0;613.95;175.81
1150;800.0;0.0;701.11;108.52
1200;800.0;0.0;769.55;60.9
1250;800.0;0.0;793.44;13.13
1300;800.0;0.0;800.0;0.0
1350;800.0;0.0;800.0;0.0
1400;800.0;0.0;800.0;0.0
1450;800.0;0.0;800.0;0.0
1500;800.0;0.0;800.0;0.0
